Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT1G07700.2,"Thioredoxin superfamily protein; INVOLVED IN: cell redox homeostasis; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin, core (InterPro:IPR015467), Thioredoxin domain (InterPro:IPR013766), Thioredoxin-like fold (InterPro:IPR012336); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",thioredoxin family protein,plastid stroma,
AT1G07700.3,"Thioredoxin superfamily protein; INVOLVED IN: cell redox homeostasis; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin, core (InterPro:IPR015467), Thioredoxin-like (InterPro:IPR017936), Thioredoxin domain (InterPro:IPR013766), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT1G19730.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",thioredoxin family protein,plastid stroma,
AT1G07780.1,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,phosphoribosylanthranilate isomerase 1 (PAI1),plastid stroma,chloroplast
AT1G07780.2,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,phosphoribosylanthranilate isomerase 1 (PAI1),plastid stroma,chloroplast
AT1G07780.3,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,phosphoribosylanthranilate isomerase 1 (PAI1),plastid stroma,chloroplast
AT1G07780.4,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family.,phosphoribosylanthranilate isomerase 1 (PAI1),plastid stroma,
AT1G07780.5,phosphoribosylanthranilate isomerase 1 ,phosphoribosylanthranilate isomerase 1 (PAI1),plastid stroma,
AT1G08250.1,arogenate dehydratase 6 ,arogenate dehydratase/ prephenate dehydratase (ADT6),plastid stroma,
AT1G08380.1,photosystem I subunit O ,psaO,thylakoid-integral,
AT1G08490.1,chloroplastic NIFS-like cysteine desulfurase ,AtCpNifS or AtNSF2 - SufS-like,plastid stroma,
AT1G08520.1,ALBINA 1 ,Mg-protoporphyrin IX chelatase (CHLD),plastid,magnesium chelatase complex
AT1G08550.1,Violaxanthin deepoxidase involved in xanthophyll cycle.Two major consequences of the npq1 mutation are the absence of zeaxanthin formation in strong light and the partial inhibition of the quenching of singlet excited chlorophylls in the photosystem II light-harvesting complex,Violaxanthin Deepoxidase (VDE),thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae) & photosystem II (sensu Viridiplantae)
AT1G08550.2,non-photochemical quenching 1 ,Violaxanthin Deepoxidase (VDE),thylakoid-peripheral-stromal-side,thylakoid lumen (sensu Viridiplantae) & photosystem II (sensu Viridiplantae)
AT1G08640.1,Chloroplast J-like domain 1 ,weak J-domain protein CJD1 (ARC6 interactor),envelope-inner-integral,
AT1G09130.1,"ATP-dependent caseinolytic (Clp) protease/crotonase family protein; FUNCTIONS IN: serine-type endopeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S14, ClpP (InterPro:IPR001907); BEST Arabidopsis thaliana protein match is: CLP protease proteolytic subunit 1 (TAIR:AT1G49970.1); Has 11947 Blast hits to 11945 proteins in 2949 species: Archae - 0; Bacteria - 7353; Metazoa - 146; Fungi - 81; Plants - 1069; Viruses - 3; Other Eukaryotes - 3295 (source: NCBI BLink).",ClpR3 (R-ring),plastid stroma,mitochondrion & chloroplast stroma
AT1G09130.2,ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,ClpR3 (R-ring),plastid stroma,mitochondrion & chloroplast stroma
AT1G09130.3,ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,ClpR3 (R-ring),plastid stroma,
AT1G09340.1,chloroplast RNA binding ,HIP1.3 (cytosol - heteroglycan-interaction) or Rap38/CSP41B (plastid-RNA binding),plastid stroma; cytosol,
AT1G09795.1,ATP phosphoribosyl transferase 2 ,ATP phosphoribosyl transferase (ATP-PRT2) (HISN1A),plastid stroma,
AT1G09830.1,Glycinamide ribonucleotide (GAR) synthetase ,phosphoribosylamine--glycine ligase (PUR2),plastid stroma,
AT1G10310.1,NAD(P)-binding Rossmann-fold superfamily protein ,NAD(P)-binding Rossmann-fold  protein ,stroma,
AT1G10500.1,chloroplast-localized ISCA-like protein ,cpIscA - 2Fe-2S assembly factor,plastid stroma,chloroplast stroma
AT1G10510.1,RNI-like superfamily protein ,unknown protein similar to ribonuclease inhibitors,plastid,chloroplast envelope
AT1G10522.1,Encodes PRIN2 (plastid redox insensitive 2). PRIN2 mutants are impaired in PEP (plastid-encoded RNA polymerase) activity and high light-dependent plastid redox signalling to the nucleus.,(plastid redox insensitive 2 (PRIN2),plastid nucleoid,
AT1G10522.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 24 Blast hits to 24 proteins in 8 species: Archae ,(plastid redox insensitive 2 (PRIN2),plastid nucleoid,
AT1G10760.1,"Pyruvate phosphate dikinase, PEP/pyruvate binding domain ",glycan water dikinase 1 - GWD1 or Sex1 or R1 protein),plastid stroma,mitochondrion
AT1G10830.1,15-cis-zeta-carotene isomerase ,15-cis-zeta-carotene isomerase (Z-ISO),plastid,
AT1G10960.1,"ferredoxin 1 (FD1); FUNCTIONS IN: electron carrier activity, iron-sulfur cluster binding, 2 iron, 2 sulfur cluster binding; INVOLVED IN: response to karrikin; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 2Fe-2S ferredoxin, iron-sulphur binding site (InterPro:IPR006058), Ferredoxin (InterPro:IPR001041), Ferredoxin [2Fe-2S], plant (InterPro:IPR010241), Beta-grasp fold, ferredoxin-type (InterPro:IPR012675); BEST Arabidopsis thaliana protein match is: 2Fe-2S ferredoxin-like superfamily protein (TAIR:AT1G60950.1); Has 7651 Blast hits to 7649 proteins in 1369 species: Archae - 135; Bacteria - 5662; Metazoa - 7; Fungi - 14; Plants - 626; Viruses - 5; Other Eukaryotes - 1202 (source: NCBI BLink).",Fd1-leaf,thylakoid-peripheral-stromal-side,
AT1G11290.1,Pentatricopeptide repeat (PPR) superfamily protein ,"CRR22 - DYW-PPR protein - editing ndhB, ndhD, rpoB",plastid,
AT1G11430.1,"plastid developmental protein DAG, putative ",MORF9 - DAG protein-related,plastid stroma,
AT1G11720.1,starch synthase 3 ,starch synthase 3 (SS3),plastid stroma,
AT1G11720.2,starch synthase 3 ,starch synthase 3 (SS3),plastid stroma,
AT1G11750.1,CLP protease proteolytic subunit 6 ,ClpP6 (P-ring),plastid stroma,chloroplastic endopeptidase Clp complex & chloroplast stroma & thylakoid (sensu Viridiplantae)
AT1G11750.2,One of several nuclear-encoded ClpPs (caseinolytic protease). Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). The name reflects nomenclature described in Adam et. al (2001).,ClpP6 (P-ring),plastid stroma,
AT1G11790.1,arogenate dehydratase 1 ,arogenate dehydratase/ prephenate dehydratase (ADT1),plastid stroma,
AT1G11870.1,Seryl-tRNA synthetase ,Ser-tRNA synthetase  - AtSRS (OVULE ABORTION 7) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT1G11870.2,Seryl-tRNA synthetase targeted to chloroplasts and mitochondria. Its inactivation causes developmental arrest of chloroplasts and mitochondria in Nicotiana benthamiana.,Ser-tRNA synthetase  - AtSRS (OVULE ABORTION 7) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT1G11870.3,Seryl-tRNA synthetase targeted to chloroplasts and mitochondria. Its inactivation causes developmental arrest of chloroplasts and mitochondria in Nicotiana benthamiana.,Ser-tRNA synthetase  - AtSRS (OVULE ABORTION 7) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT1G12230.1,Aldolase superfamily protein ,transaldolase,plastid stroma,
AT1G12230.2,"Aldolase superfamily protein; FUNCTIONS IN: transaldolase activity, zinc ion binding; INVOLVED IN: carbohydrate metabolic process, metabolic process; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Transaldolase (InterPro:IPR001585).",transaldolase,plastid stroma,
AT1G12250.1,"Pentapeptide repeat-containing protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pentapeptide repeat (InterPro:IPR001646); BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT2G44920.2); Has 7687 Blast hits to 4280 proteins in 513 species: Archae - 134; Bacteria - 5724; Metazoa - 1; Fungi - 0; Plants - 235; Viruses - 4; Other Eukaryotes - 1589 (source: NCBI BLink).",thylakoid lumen pentapeptide protein,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae)
AT1G12250.2,Pentapeptide repeat-containing protein ,thylakoid lumen pentapeptide protein ,thylakoid-peripheral-lumenal-side,
AT1G12410.1,CLP protease proteolytic subunit 2 ,ClpR2 (R-ring),plastid stroma,chloroplastic endopeptidase Clp complex & chloroplast stroma & thylakoid (sensu Viridiplantae)
AT1G12520.1,copper chaperone for SOD1 ,Cu-metallo chaperone  (AtCCS),plastid stroma,chloroplast
AT1G12520.2,"Copper-zinc superoxide dismutase copper chaperone (delivers copper to the Cu-Zn superoxide dismutase). Localized to the chloroplast. Expressed in roots and shoots. Up-regulated in response to copper and senescence. The AtACC activates all three CuZnSOD activities located in three different subcellular compartments.  Contains three domains, central, ATX-1 like and C-terminal. ATX-1 like domain essential for the copper chaperone function of AtCCS in planta.",Cu-metallo chaperone  (AtCCS),plastid stroma,chloroplast
AT1G12520.3,"Copper-zinc superoxide dismutase copper chaperone (delivers copper to the Cu-Zn superoxide dismutase). Localized to the chloroplast. Expressed in roots and shoots. Up-regulated in response to copper and senescence. The AtACC activates all three CuZnSOD activities located in three different subcellular compartments.  Contains three domains, central, ATX-1 like and C-terminal. ATX-1 like domain essential for the copper chaperone function of AtCCS in planta.",Cu-metallo chaperone  (AtCCS),plastid stroma,chloroplast
AT1G12770.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,DExD box RNA helicase (RH47) (EMB1586; globular stage) ,plastid nucleoid,
AT1G12800.1,"Nucleic acid-binding, OB-fold-like protein ",S1 RNA-binding domain-containing protein,plastid stroma,
AT1G12900.1,glyceraldehyde 3-phosphate dehydrogenase A subunit 2 ,glyceraldehyde-3-phosphate dehydrogenase A-2 (GAPA-2),plastid stroma,
AT1G12900.2,"glyceraldehyde 3-phosphate dehydrogenase A subunit 2 (GAPA-2); FUNCTIONS IN: glyceraldehyde-3-phosphate dehydrogenase activity; INVOLVED IN: glycolysis; LOCATED IN: apoplast, chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain (InterPro:IPR020829), Glyceraldehyde 3-phosphate dehydrogenase subfamily (InterPro:IPR000173), Glyceraldehyde 3-phosphate dehydrogenase family (InterPro:IPR020831), Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain, subgroup (InterPro:IPR020832), Glyceraldehyde 3-phosphate dehydrogenase, active site (InterPro:IPR020830), Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain (InterPro:IPR020828); BEST Arabidopsis thaliana protein match is: glyceraldehyde 3-phosphate dehydrogenase A subunit (TAIR:AT3G26650.1); Has 24213 Blast hits to 24212 proteins in 6137 species: Archae - 36; Bacteria - 10763; Metazoa - 2201; Fungi - 2756; Plants - 3727; Viruses - 0; Other Eukaryotes - 4730 (source: NCBI BLink).",glyceraldehyde-3-phosphate dehydrogenase A-2 (GAPA-2),plastid stroma,
AT1G12900.3,"glyceraldehyde 3-phosphate dehydrogenase A subunit 2 (GAPA-2); FUNCTIONS IN: NAD or NADH binding, glyceraldehyde-3-phosphate dehydrogenase activity; INVOLVED IN: oxidation reduction, glycolysis, glucose metabolic process; LOCATED IN: apoplast, chloroplast, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Glyceraldehyde 3-phosphate dehydrogenase subfamily (InterPro:IPR000173), Glyceraldehyde 3-phosphate dehydrogenase family (InterPro:IPR020831), Glyceraldehyde-3-phosphate dehydrogenase, type I (InterPro:IPR006424), Glyceraldehyde 3-phosphate dehydrogenase, active site (InterPro:IPR020830), Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain (InterPro:IPR020829), Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain, subgroup (InterPro:IPR020832), Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain (InterPro:IPR020828); BEST Arabidopsis thaliana protein match is: glyceraldehyde 3-phosphate dehydrogenase A subunit (TAIR:AT3G26650.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",glyceraldehyde-3-phosphate dehydrogenase A-2 (GAPA-2),plastid stroma,
AT1G12900.4,"glyceraldehyde 3-phosphate dehydrogenase A subunit 2 (GAPA-2); FUNCTIONS IN: NAD or NADH binding, glyceraldehyde-3-phosphate dehydrogenase activity; INVOLVED IN: oxidation reduction, glycolysis, glucose metabolic process; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glyceraldehyde 3-phosphate dehydrogenase subfamily (InterPro:IPR000173), Glyceraldehyde 3-phosphate dehydrogenase family (InterPro:IPR020831), Glyceraldehyde-3-phosphate dehydrogenase, type I (InterPro:IPR006424), Glyceraldehyde 3-phosphate dehydrogenase, active site (InterPro:IPR020830), Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain (InterPro:IPR020829), Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain, subgroup (InterPro:IPR020832), Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain (InterPro:IPR020828); BEST Arabidopsis thaliana protein match is: glyceraldehyde 3-phosphate dehydrogenase A subunit (TAIR:AT3G26650.1).",glyceraldehyde-3-phosphate dehydrogenase A-2 (GAPA-2),plastid stroma,
AT1G13270.1,methionine aminopeptidase 1B ,methionine aminopeptidase MAP1B (dual targeted mito & chloro),plastid stroma; mitochondria,mitochondrion & chloroplast
AT1G13270.2,methionine aminopeptidase 1B ,methionine aminopeptidase MAP1B (dual targeted mito & chloro),plastid stroma; mitochondria,mitochondrion & chloroplast
AT1G13280.1,"Encodes allene oxide cyclase.  One of four genes in Arabidopsis that encode this enzyme, which catalyzes an essential step in jasmonic acid biosynthesis. Gene expression is reduced during senescence, a process that involves jasmonic acid signalling pathway.",allene oxide cyclase 4 (OAC4; ERD12 family,plastid stroma,
AT1G13900.1,Purple acid phosphatases superfamily protein ,purple acid phosphatase (AtPAP2) - dual targeted mito-plastid,mitochondria; envelope-outer,
AT1G14030.1,Rubisco methyltransferase family protein ,Rubisco LS methyltransferase (LSMT),plastid stroma,
AT1G14150.1,Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen.,NDH L (Psbq-like 1  or PQL1) or PnsL2,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae)
AT1G14150.2,Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen.,NDH L (Psbq-like 1  or PQL1) or PnsL2,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae)
AT1G14345.1,NAD(P)-linked oxidoreductase superfamily protein ,unknown protein,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G14410.1,Encodes a homolog of the potato p24 protein. Binds single strand telomeric repeats. Negatively regulates telomerase activity and telomere length.,DNA-binding protein (pTAC1) Why1 - DNA binding/transcription factor -p24 like,plastid stroma,plastid chromosome & chloroplast
AT1G14810.1,semialdehyde dehydrogenase family protein ,aspartate-semialdehyde dehydrogenase,plastid stroma,mitochondrion
AT1G14830.1,DYNAMIN-like 1C ,dynamin ADL1-thylakoid,thylakoid-peripheral-stromal-side,cell plate
AT1G15060.1,"Uncharacterised conserved protein UCP031088, alpha/beta hydrolase ",alpha/beta hydrolase ,plastid stroma,
AT1G15140.1,FAD/NAD(P)-binding oxidoreductase ,FERREDOXIN-NADP+ OXIDOREDUCTASE -LIKE (FNRL),plastid stroma,
