"","Locus","Description","otherName"
"625","AT5G64940","ABC1K8 is a member of an atypical protein kinase family that is induced by heavy metals. Loss of function mutations affect the metabolic profile of chloroplast lipids. It appears to function along with ABC1K7 in mediating lipid membrane changes in response to stress. The mRNA is cell-to-cell mobile.","A. THALIANA OXIDATIVE STRESS-RELATED ABC1-LIKE PROTEIN 1; ABC1K8; ABC2 HOMOLOG 13; ARABIDOPSIS THALIANA ABC2 HOMOLOG 13; ATATH13; ATH13; ATOSA1; OSA1; OXIDATIVE STRESS-RELATED ABC1-LIKE PROTEIN 1"
"264","AT5G27640","encodes a member of eukaryotic translation initiation factor 3B family.",""
"9","AT5G57290","60S acidic ribosomal protein family;(source:Araport11)","ATP3B; P3B; RIBOSOMAL P3 PROTEIN B"
"562","AT2G44650","Encodes a chloroplast-localized chaperonin 10 whose mRNA is expressed in leaves and stems but not roots.","CHL-CPN10; CHLOROPLAST CHAPERONIN 10; CPN10"
"32","AT5G23750","Remorin family protein;(source:Araport11)",""
"427","AT3G07780","Encodes a nuclear PHD finger protein that is functionally redundant with OBE2 and plays an important role in the maintenance and/or establishment of the root and shoot apical meristems. The mRNA is cell-to-cell mobile.","OBE1; OBERON1"
"102","AT1G74960","Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.","ARABIDOPSIS BETA-KETOACYL-ACP SYNTHETASE 2; ATKAS2; BETA-KETOACYL-ACP SYNTHETASE 2; FAB1; FATTY ACID BIOSYNTHESIS 1; KAS2"
"135","AT5G14920","Encodes a GASA domain containing protein that  regulates increases in plant growth through GA-induced and DELLA-dependent signal transduction and that can increase abiotic stress resistance by reducing ROS accumulation.","A-STIMULATED IN ARABIDOPSIS 14; GASA14"
"542","AT5G53460","NADH-dependent glutamate synthase The mRNA is cell-to-cell mobile.","GLT1; NADH-DEPENDENT GLUTAMATE SYNTHASE 1"
"22","AT5G52200","Encodes an inhibitor of protein phosphatase one (PP1).","ATI-2; I-2; INHIBITOR-2"
"727","AT1G18640","Encodes a 3-phosphoserine phosphatase acting in the last step of serine biosynthesis within the chloroplast. Essential for embryo, pollen and root development.","3-PHOSPHOSERINE PHOSPHATASE; PHOSPHOSERINE PHOSPHATASE 1; PSP; PSP1"
"91","AT5G49930","zinc knuckle (CCHC-type) family protein;(source:Araport11)","EMB1441; EMBRYO DEFECTIVE 1441"
"141","AT3G53560","Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)",""
"880","AT5G19770","tubulin 3","TUA3; TUBULIN ALPHA-3"
"886","AT5G38410","Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity.","RBCS3B; RUBISCO SMALL SUBUNIT 3B"
"834","AT5G65940","hydrolyzes beta-hydroxyisobutyryl-CoA","BETA-HYDROXYISOBUTYRYL-COA HYDROLASE 1; CHY1"
"589","AT5G16880","Target of Myb protein 1;(source:Araport11)",""
"740","AT2G35720","Encodes OWL1, a J-domain protein involved in perception of very low light fluences.","ORIENTATION UNDER VERY LOW FLUENCES OF LIGHT 1; OWL1"
"817","AT1G45170","outer envelope pore 24B-like protein;(source:Araport11)",""
"699","AT5G21160","Encodes a protein with sequence similarity to mRNA binding proteins from humans. LARP1a is involved in mRNA degradation in response to heat stress. Upon heat stress LARP1a interacts with XRN4 and appears to be responsible for addressing XRN4 to the polysome. LARP1/XRN4 double mutants are impaired in thermotolerance and lower levels of heat induced RNA turnover.","ATLARP1A; LA RELATED PROTEIN 1A; LARP1A"
"451","AT5G16470","zinc finger (C2H2 type) family protein;(source:Araport11)",""
"381","AT5G52320","cytochrome P450, family 96, subfamily A, polypeptide 4;(source:Araport11)",""
"785","AT5G25100","Endomembrane protein 70 protein family;(source:Araport11)","TMN9"
"599","AT5G13650","Encodes SVR3, a putative chloroplast TypA translation elongation GTPase.  Loss of SVR3 suppresses variegation mediated by var2.  SVR3 is essential for plants’ ability to develop functional chloroplasts under chilling stress (8C), but not at normal temperature (22C).","SUPPRESSOR OF VARIEGATION 3; SVR3"
"881","AT5G53140","Protein phosphatase 2C family protein;(source:Araport11)",""
"591","AT5G66290","hypothetical protein;(source:Araport11)",""
"766","AT5G16450","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"508","AT5G27470","seryl-tRNA synthetase / serine-tRNA ligase;(source:Araport11)",""
"516","AT5G20090","MPC1 negatively regulates ABA enhanced slow anion channel function during stomatal closure.","ATMPC1; MITOCHONDRIAL PYRUVATE CARRIER 1; MPC1"
"639","FGENESH1_PM.C_SCAFFOLD_6000658","",""
"611","AT3G23710","Tic22-like family protein;(source:Araport11)",""
"780","ATCG00900","encodes a chloroplast ribosomal protein S7, a constituent of the small subunit of the ribosomal complex","CHLOROPLAST RIBOSOMAL PROTEIN S7; RPS7; RPS7.1"
"255","AT5G21222","protein kinase family protein;(source:Araport11)",""
"49","AT5G59890","actin depolymerizing factor 4 (ADF4) mRNA, complete cds","ACTIN DEPOLYMERIZING FACTOR 4; ADF4; ATADF4"
"867","AT5G20950","Encodes a beta-glucosidase involved in xyloglucan metabolism.",""
"850","AT5G18380","Ribosomal protein S5 domain 2-like superfamily protein;(source:Araport11)",""
"387","AT3G19160","Encodes cytokinin synthase.","ATIPT8; ATP/ADP ISOPENTENYLTRANSFERASES; IPT8; ISOPENTENYLTRANSFERASE 8; PGA22"
"340","AT5G61410","Arabidopsis thaliana ribulose-5-phosphate-3-epimerase mRNA","D-RIBULOSE-5-PHOSPHATE-3-EPIMERASE; EMB2728; EMBRYO DEFECTIVE 2728; RPE"
"357","AT3G20320","Encodes a permease-like component of an ABC transporter involved in lipid transfer from ER to chloroplast. A phosphatidic acid-binding protein with a predicted mycobacterial cell entry domain. It is tethered to the inner chloroplast envelope membrane facing the outer envelope membrane. Presumed bacterial orthologs of TGD1 and TGD2 in Gram-negative bacteria are typically organized in transcriptional units, suggesting their involvement in a common biological process. Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.",""
"822","AT5G55050","GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates. The mRNA is cell-to-cell mobile.",""
"487","AT5G17000","Zinc-binding dehydrogenase family protein;(source:Araport11)",""
"792","AT2G20800","NAD(P)H dehydrogenase B4;(source:Araport11)","NAD(P)H DEHYDROGENASE B4; NDB4"
"973","AT1G08530","chitinase-like protein;(source:Araport11)",""
"788","AT5G39340","Encodes AHP3, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs) involved in Histidine (His)-to-Aspartate (Asp) phosphorelay signal transduction. AHPs function as redundant positive regulators of cytokinin signaling. Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6).",""
"581","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.",""
"165","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.","ARABIDOPSIS HOMOLOG OF YEAST VIP1 2; ATVIP2; VIH1; VIP HOMOLOG 1; VIP1 HOMOLOG 2; VIP2"
"346","AT5G16880","Target of Myb protein 1;(source:Araport11)",""
"724","AT5G46430","Ribosomal protein L32e;(source:Araport11)",""
"17","AT2G35490","Plastid-lipid associated protein PAP / fibrillin family protein;(source:Araport11)",""
"105","AT2G29650","Encodes an inorganic phosphate transporter that  is localized to the thylakoid membrane.","ANION TRANSPORTER 1; ANTR1; PHOSPHATE TRANSPORTER 4;1; PHT4;1"
"119","AT3G52960","Thioredoxin superfamily protein;(source:Araport11)","PEROXIREDOXIN-II-E; PRXIIE"
"89","AT5G14260","Rubisco methyltransferase family protein;(source:Araport11)",""
"458","AT5G58250","YCF54;(source:Araport11)","EMB3143; EMBRYO DEFECTIVE 3143; LCAA/YCF54; LOW CHLOROPHYLL ACCUMULATION/HYPOTHETICAL CHLOROPLAST OPEN READING FRAME 54"
"949","AT5G19140","aluminum induced protein with YGL and LRDR motifs;(source:Araport11)","AILP1; ATAILP1"
"493","AT5G47870","cobalt ion-binding protein;(source:Araport11)","ODB2; ORGANELLAR DNA-BINDING PROTEIN 2; RAD52-2; RAD52-2B; RADIATION SENSITIVE 52-2"
"690","AT5G16620","chloroplast protein import (Tic40)","ATTIC40; PDE120; PIGMENT DEFECTIVE EMBRYO 120; TIC40; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 40"
"732","AT4G31990","Encodes a plastid-localized aspartate aminotransferase.  Does not display any PAT (glutamate/aspartate-prephenate aminotransferase) activity even in the presence of a high concentration of prephenate.","AAT3; ASP5; ASPARTATE AMINOTRANSFERASE 5; ASPARTATE AMINOTRANSFERASE DEFICIENT 3; ATAAT1"
"289","AT5G20060","alpha/beta-Hydrolases superfamily protein;(source:Araport11)",""
"746","AT5G57290","60S acidic ribosomal protein family;(source:Araport11)","ATP3B; P3B; RIBOSOMAL P3 PROTEIN B"
"667","AT3G53900","Encodes UPP, a plastidial uracil phosphoribosyltransferase (UPRT) involved in uracil salvage.  Loss-of-function mutation causes dramatic growth retardation, a pale-green to albino phenotype, abnormal root morphology and chloroplastic disorders.","PYRIMIDINE R; PYRR; UPP; URACIL PHOSPHORIBOSYLTRANSFERASE"
"730","AT5G57110","Arabidopsis-autoinhibited Ca2+ -ATPase, isoform 8, contains all of the characteristic motifs of Ca2+ -transporting P-type Ca2+ -ATPases and is localized to the plasma membrane.","AUTOINHIBITED CA2+ -ATPASE, ISOFORM 8; ACA8; AT-ACA8"
"742","AT3G47520","Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts. The mRNA is cell-to-cell mobile.","MALATE DEHYDROGENASE; MDH; PLASTIDIC NAD-DEPENDENT MALATE DEHYDROGENASE; PNAD-MDH"
"446","AT5G19940","Plastid-lipid associated protein PAP / fibrillin family protein;(source:Araport11)",""
"716","AT1G79530","Encodes one of the chloroplast/plastid localized GAPDH isoforms (GAPCp1/At1g79530 and GAPCp2/At1g16300). gapcp double mutants display a drastic phenotype of arrested root development, dwarfism and sterility. GAPCps are important for the synthesis of serine in roots.","GAPCP-1; GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE OF PLASTID 1"
"388","AT4G35630","Encodes a phosphoserine aminotransferase which is involved in serine biosynthesis in the chloroplast which operates via the phosphorylated pathway. The mRNA is cell-to-cell mobile.","PHOSPHOSERINE AMINOTRANSFERASE 1; PSAT1"
"461","AT5G66570","Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO1 is the major isoform in the wild-type. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the membrane. The mRNA is cell-to-cell mobile.","33 KDA OXYGEN EVOLVING POLYPEPTIDE 1; MANGANESE-STABILIZING PROTEIN 1; MSP-1; OE33; OEE1; OEE33; OXYGEN EVOLVING COMPLEX 33 KILODALTON PROTEIN; OXYGEN EVOLVING ENHANCER PROTEIN 33; PS II OXYGEN-EVOLVING COMPLEX 1; PSBO-1; PSBO1"
"757","AT4G01900","encodes a PII protein that may function as part of a signal transduction network involved in perceiving the status of carbon and organic nitrogen. Forms a protein complex with N-acetylglutamate kinase and regulates the kinase activity by relieving the feedback inhibition of the kinase by arginine.  Regulates acetyl-CoA carboxylase activity.","GLB1; GLNB1 HOMOLOG; PII"
"509","AT5G40930","Form of TOM20, which is a component of the TOM complex  involved in transport of nuclear-encoded mitochondrial proteins","TOM20-4; TRANSLOCASE OF OUTER MEMBRANE 20-4"
"330","AT5G54430","Contains a universal stress protein domain. Protein is phosphorylated in response to Phytophthora infestans zoospores and xylanase.",""
"67","AT5G18800","Cox19-like CHCH family protein;(source:Araport11)",""
"62","AT1G55160","WAS/WASL-interacting family protein;(source:Araport11)",""
"13","AT1G31180","The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.",""
"122","AT5G47180","Plant VAMP (vesicle-associated membrane protein) family protein;(source:Araport11)",""
"98","AT5G56730","Insulinase (Peptidase family M16) protein;(source:Araport11)",""
"205","AT5G36160","Encodes a cytosolic L-tyrosine aminotransferase. AtTAT2 exhibits much broader amino donor specificity than AtTAT1 and can use not only Tyr but also Phe, Trp, His, Met, Leu, Ala, Ser, Cys, Asp, Asn, Gln, and Arg as amino donors.","ATTAT2; TAT2; TYR AMINOTRANSFERASE 2"
"631","AT5G44290","Protein kinase superfamily protein;(source:Araport11)",""
"495","AT5G56030","A member of heat shock protein 90 (HSP90) gene family. Expressed in all tissues and abundant in root apical meristem, pollen and tapetum. Expression is NOT heat-induced but induced by IAA and NaCl. Interacts with HsfA1d in the cytosol and the nucleus and negatively regulates HsfA1d. Did not bind to  AtHsfA4c. The mRNA is cell-to-cell mobile.","ATHSP90.2; EARLY-RESPONSIVE TO DEHYDRATION 8; ERD8; HEAT SHOCK PROTEIN  90.2; HEAT SHOCK PROTEIN 81-2; HEAT SHOCK PROTEIN 81.2; HEAT SHOCK PROTEIN 90.2; HSP81-2; HSP81.2; HSP90.2"
"970","AT2G16070","An integral outer envelope membrane protein (its homolog in A thaliana PDV1), component of the plastid division machinery. Similar to ARC6, PDV2 localizes to a continuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site.",""
"972","AT5G64460","Phosphoglycerate mutase family protein;(source:Araport11)",""
"616","AT4G32250","Encodes a component of the TOC machinery that phosphorylates import receptors, supports pre-protein import, and contributes to efficient chloroplast biogenesis.","KINASE OF THE OUTER CHLOROPLAST MEMBRANE 1; KOC1"
"291","ATCG00650","chloroplast-encoded ribosomal protein S18","RIBOSOMAL PROTEIN S18; RPS18"
"231","AT5G65240","Leucine-rich repeat protein kinase family protein;(source:Araport11)",""
"649","AT5G58090","O-Glycosyl hydrolases family 17 protein;(source:Araport11)",""
"902","AT5G28060","Ribosomal protein S24e family protein;(source:Araport11)","RPS24B"
"172","AT5G20090","MPC1 negatively regulates ABA enhanced slow anion channel function during stomatal closure.",""
"676","AT5G44130","FASCICLIN-like arabinogalactan protein 13 precursor;(source:Araport11)","FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 13 PRECURSOR; FLA13"
"323","AT5G13710","SMT1 controls the level of cholesterol in plants","CEPHALOPOD; CPH; SMT1; STEROL METHYLTRANSFERASE 1"
"622","AT5G24650","HP30/Tric1 is a component of the mitochondrial protein translocation complex and is involved in tRNA transport along with HP30-2/Tric2.It interacts with several members of the TOM complex such as TOM40 and this interaction is mediated by the SAM domain.","HP30-2; HYPOTHETICAL PROTEIN 30-2; TRIC2; TRNA IMPORT COMPONENT 2"
"858","AT5G59880","Encodes actin depolymerizing factor 3 (ADF3).","ACTIN DEPOLYMERIZING FACTOR 3; ADF3"
"862","AT2G34630","Encodes a geranyl diphosphate synthase. RNAi lines are dwarf. T-DNA knock-out lines are embryo lethal.","GERANYL DIPHOSPHATE SYNTHASE 1; GERANYLPYROPHOSPHATE SYNTHASE; GPPS; GPS1"
"66","AT5G17010","Major facilitator superfamily protein;(source:Araport11)",""
"535","AT5G47760","serine/threonine protein kinase",""
"536","AT5G55990","Encodes a member of the Arabidopsis CBL (Calcineurin B-like Calcium Sensor) protein family.",""
"898","AT4G32470","Cytochrome bd ubiquinol oxidase, 14kDa subunit;(source:Araport11)",""
"603","ATMG00070","NADH dehydrogenase subunit 9","NAD9; NADH DEHYDROGENASE SUBUNIT 9"
"247","AT5G16150","Encodes a putative plastidic glucose transporter.","GLT1; GLUCOSE TRANSPORTER 1; PGLCT; PLASTIDIC GLC TRANSLOCATOR"
"185","AT5G43970","Subunit of the TOM complex, a translocase in the outer mitochondrial membrane that selectively allows proteins with a mitochondrial targeting sequence to enter the mitochondrion.","ATTOM22-V; TOM22-V; TOM9-2; TRANSLOCASE OF OUTER MEMBRANE 22-V; TRANSLOCASE OUTER MITOCHONDRIAL MEMBRANE 22-V"
"899","AT3G46740","Component of the translocon outer membrane (TOC) complex. Forms the outer envelope translocation channel (beta-barrel). Plays a role in preprotein conductance. Imported into chloroplast. Expressed in young dividing photosynthetic tissues. Knockout mutants are embryo lethal with arrested development at the two-cell stage. Knockout mutants have abnormal etioplasts.","MAR1; MODIFIER OF ARG1 1; TOC75; TOC75-III; TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 75-III"
"127","AT5G39740","Encodes a ribosomal protein RPL5B that is involved in ribosome biogenesis and plays a role in organ size control by promoting cell proliferation and preventing compensation in normal leaf development.","OLI7; OLIGOCELLULA 7; RIBOSOMAL PROTEIN L5 B; RPL5B"
"27","AT5G47210","Hyaluronan / mRNA binding family;(source:Araport11)",""
"297","AT4G12030","Required for the biosynthesis of methionine-derived glucosinolates. Involved in the  transport of 2-keto acids between chloroplasts and the cytosol.",""
"929","AT5G53650","ABC transporter A family protein;(source:Araport11)",""
"946","AT4G32250","Encodes a component of the TOC machinery that phosphorylates import receptors, supports pre-protein import, and contributes to efficient chloroplast biogenesis.","KINASE OF THE OUTER CHLOROPLAST MEMBRANE 1; KOC1"
"142","AT5G47710","Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)",""
"838","AT1G30270","Arabidopsis thaliana CBL-interacting protein kinase 23.  CIPK23 serves as a positive regulator of the potassium transporter AKT1 by directly phosphorylating AKT1.  CIPK23 is activated by the binding of two calcineurin B-like proteins, CBL1 and CBL9.The mRNA is cell-to-cell mobile.",""
"39","AT2G21370","Although this gene has a sequence similar to xylulose kinases, several lines of experimental evidence suggest that it does not act on xylulose or deoxy-xylulose.",""
"173","AT5G54760","Translation initiation factor SUI1 family protein;(source:Araport11)",""
"46","AT5G61900","Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response.","BON; BON1; BONZAI 1; COPINE 1; CPN1"
"215","AT5G42765","plasma membrane fusion protein;(source:Araport11)",""
"606","AT5G47210","Hyaluronan / mRNA binding family;(source:Araport11)",""
"833","AT2G21370","Although this gene has a sequence similar to xylulose kinases, several lines of experimental evidence suggest that it does not act on xylulose or deoxy-xylulose.","XK-1; XK1; XYLULOSE KINASE 1; XYLULOSE KINASE-1"
"332","AT2G21280","A nuclear-encoded, plastid-targeted protein (AtSulA) whose overexpression causes severe yet stochastic plastid (shown in chloroplasts and leucoplasts) division defects. The protein does not appear to interact with either AtFtsZ proteins when studied in a yeast two-hybrid system.",""
"491","AT5G52310","cold regulated gene, the 5' region of cor78 has cis-acting regulatory elements that can impart cold-regulated gene expression The mRNA is cell-to-cell mobile.","COLD REGULATED 78; COR78; LOW-TEMPERATURE-INDUCED 78; LTI140; LTI78; RD29A; RESPONSIVE TO DESICCATION 29A"
"646","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"360","AT2G19080","metaxin-like protein;(source:Araport11)",""
"349","AT5G28020","Encodes cysteine synthase CysD2.","ATCYSD2; CYSD2; CYSTEINE SYNTHASE D2"
"36","AT5G40490","HLP1 is a member of the conserved hnRNP A/B family and contains RNA Recognition Motifs (RRM).It binds mRNA and appears to be involved in targeting alternative polyadenylation (APA). APA targets include genes involved in flowering. Loss of HLP1 function results causes late flowering under long and short day conditions. This phenotype is suppressed by loss of FLC.",""
"232","AT5G55730","Encodes fasciclin-like arabinogalactan-protein 1 (Fla1). fla1 mutants show defects in shoot regeneration.","FASCICLIN-LIKE ARABINOGALACTAN 1; FLA1"
"237","AT5G42020","Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.",""
"58","AT5G47930","Zinc-binding ribosomal protein family protein;(source:Araport11)",""
"276","AT5G15450","Encodes a chloroplast-targeted Hsp101 homologue.  Functions as a molecular chaperone involved in plastid differentiation mediating internal thylakoid membrane formation and conferring thermotolerance to chloroplasts during heat stress.  APG6 is constitutively expressed in the root tips, the organ boundary region, the reproductive tissues of mature plants where plastids exist as proplastids, and slightly in the stems and leaves.  APG6 expression is upregulated in response to heat shock in various organs, but not in response to other abiotic stresses.  Apg6 mutants have a pale-green phenotype.","ALBINO AND PALE GREEN 6; APG6; ATCLPB3; CASEIN LYTIC PROTEINASE B-P; CASEIN LYTIC PROTEINASE B3; CLPB-P; CLPB3"
"963","ATCG00270","PSII D2 protein","PHOTOSYSTEM II REACTION CENTER PROTEIN D; PSBD"
"267","AT5G39570","Protein of unknown function. Binds phosphatidic acid and acts downstream of PLDalpha.","PLD REGULATED PROTEIN1; PLDRP1"
"180","AT5G45510","Leucine-rich repeat (LRR) family protein;(source:Araport11)",""
"298","AT5G57350","member of Plasma membrane H+-ATPase family",""
"502","AT5G66040","Encodes a protein with thiosulfate sulfurtransferase/rhodanese activity  in vitro, however, it is likely to use a substrate other than thiosulfate or 3-mercaptopyruvate in vivo. The mRNA is cell-to-cell mobile.","STR16; SULFURTRANSFERASE PROTEIN 16"
"669","AT5G08540","ribosomal RNA small subunit methyltransferase J;(source:Araport11)",""
"580","AT1G14810","encodes an aspartate semialdehyde dehydrogenase, which produces the branch point intermediate for lysine and threonine/methionine biosynthesis",""
"292","ATCG00810","encodes a chloroplast ribosomal protein L22, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L22; RPL22"
