Accession,STD Annot.,Curated Loc.
AT1G14270.3,CAAX amino terminal protease family protein; INVOLVED IN: proteolysis; LOCATED IN: membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Abortive infection protein (InterPro:IPR003675); BEST Arabidopsis thaliana protein match is: CAAX amino terminal protease family protein (TAIR:AT5G60750.1); Has 3768 Blast hits to 3768 proteins in 1001 species: Archae - 88; Bacteria - 3268; Metazoa - 0; Fungi - 0; Plants - 132; Viruses - 0; Other Eukaryotes - 280 (source: NCBI BLink).,plastid; mitochondria
AT1G14270.4,CAAX amino terminal protease family protein; INVOLVED IN: proteolysis; LOCATED IN: membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Abortive infection protein (InterPro:IPR003675); BEST Arabidopsis thaliana protein match is: CAAX amino terminal protease family protein (TAIR:AT5G60750.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,plastid; mitochondria
AT1G14610.1,valyl-tRNA synthetase / valine--tRNA ligase (VALRS),mitochondria
AT1G14980.1,chaperonin 10,mitochondria
AT1G15390.1,peptide deformylase 1A,plastid; mitochondria
AT1G17290.1,alanine aminotransferas,mitochondria
AT1G17530.1,translocase of inner mitochondrial membrane 23,mitochondria
AT1G18320.1,"Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein; FUNCTIONS IN: protein transporter activity, P-P-bond-hydrolysis-driven protein transmembrane transporter activity; INVOLVED IN: protein transport; LOCATED IN: mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane translocase complex, subunit Tim17/22 (InterPro:IPR003397); BEST Arabidopsis thaliana protein match is: Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein (TAIR:AT3G10110.1); Has 671 Blast hits to 671 proteins in 187 species: Archae - 0; Bacteria - 0; Metazoa - 261; Fungi - 229; Plants - 123; Viruses - 0; Other Eukaryotes - 58 (source: NCBI BLink).",mitochondria
AT1G18600.1,RHOMBOID-like protein 12,mitochondria
AT1G19140.1,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ubiquinone biosynthetic process; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: COQ9 (InterPro:IPR013718), Ubiquinon",mitochondria
AT1G19140.2,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ubiquinone biosynthetic process; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: COQ9 (InterPro:IPR013718), Ubiquinone biosynthesis protein COQ9 (InterPro:IPR012762); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",mitochondria
AT1G20350.1,mitochondrial inner membrane translocase,mitochondria
AT1G21150.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G22450.1,cytochrome C oxidase 6B,mitochondria
AT1G22660.1,Polynucleotide adenylyltransferase family protein,stroma; mitochondria
AT1G22660.2,"Polynucleotide adenylyltransferase family protein; FUNCTIONS IN: tRNA adenylyltransferase activity, RNA binding, nucleotidyltransferase activity; INVOLVED IN: tRNA processing, RNA processing; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Poly A polymerase, head domain (InterPro:IPR002646); BEST Arabidopsis thaliana protein match is: Polynucleotide adenylyltransferase family protein (TAIR:AT2G17580.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",stroma; mitochondria
AT1G22940.1,"thiamin biosynthesis protein, putative",plastid; mitochondria
AT1G23100.1,"GroES-like family protein; FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding; LOCATED IN: mitochondrion; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Chaperonin Cpn10 (InterPro:IPR020818), GroES-like (InterPro:IPR011032), Chaperonin Cpn10, conserved site (InterPro:IPR018369), Chaperonin Cpn10, subgroup (InterPro:IPR001476); BEST Arabidopsis thaliana protein match is: chaperonin 10 (TAIR:AT1G14980.1); Has 8300 Blast hits to 8204 proteins in 2528 species: Archae - 1; Bacteria - 5400; Metazoa - 324; Fungi - 119; Plants - 327; Viruses - 2; Other Eukaryotes - 2127 (source: NCBI BLink).",mitochondria
AT1G24180.1,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein,mitochondria
AT1G25380.1,NAD+ transporter 2,mitochondria
AT1G28090.1,"Polynucleotide adenylyltransferase family protein; FUNCTIONS IN: RNA binding, nucleotidyltransferase activity; INVOLVED IN: RNA processing; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Poly A polymerase, head domain (InterPro:IPR002646); BEST Arabidopsis thaliana protein match is: Polynucleotide adenylyltransferase family protein (TAIR:AT5G23690.1); Has 9340 Blast hits to 9332 proteins in 2600 species: Archae - 2; Bacteria - 6572; Metazoa - 129; Fungi - 227; Plants - 128; Viruses - 8; Other Eukaryotes - 2274 (source: NCBI BLink).",mitochondria
AT1G28090.2,"Polynucleotide adenylyltransferase family protein; FUNCTIONS IN: RNA binding, nucleotidyltransferase activity; INVOLVED IN: RNA processing; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Poly A polymerase, head domain (InterPro:IPR002646); BEST Arabidopsis thaliana protein match is: Polynucleotide adenylyltransferase family protein (TAIR:AT5G23690.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",mitochondria
AT1G28090.3,"Polynucleotide adenylyltransferase family protein; FUNCTIONS IN: RNA binding, nucleotidyltransferase activity; INVOLVED IN: RNA processing; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Poly A polymerase, head domain (InterPro:IPR002646); BEST Arabidopsis thaliana protein match is: Polynucleotide adenylyltransferase family protein (TAIR:AT5G23690.1); Has 9376 Blast hits to 9368 proteins in 2610 species: Archae - 2; Bacteria - 6608; Metazoa - 130; Fungi - 222; Plants - 128; Viruses - 8; Other Eukaryotes - 2278 (source: NCBI BLink).",mitochondria
AT1G28960.1,"nudix hydrolase homolog 15 (NUDX15); CONTAINS InterPro DOMAIN/s: NUDIX hydrolase domain-like (InterPro:IPR015797), NUDIX hydrolase domain (InterPro:IPR000086), NUDIX hydrolase, AtNUDT22 (InterPro:IPR017397); BEST Arabidopsis thaliana protein match is: nudix hydrolase homolog 22 (TAIR:AT2G33980.1); Has 3635 Blast hits to 3634 proteins in 1300 species: Archae - 59; Bacteria - 2277; Metazoa - 167; Fungi - 181; Plants - 103; Viruses - 0; Other Eukaryotes - 848 (source: NCBI BLink).",mitochondria
AT1G28960.2,"nudix hydrolase homolog 15 (NUDX15); CONTAINS InterPro DOMAIN/s: NUDIX hydrolase domain-like (InterPro:IPR015797), NUDIX hydrolase, AtNUDT22 (InterPro:IPR017397), NUDIX hydrolase domain (InterPro:IPR000086); BEST Arabidopsis thaliana protein match is: nudix hydrolase homolog 22 (TAIR:AT2G33980.1); Has 3643 Blast hits to 3642 proteins in 1302 species: Archae - 59; Bacteria - 2285; Metazoa - 167; Fungi - 181; Plants - 103; Viruses - 0; Other Eukaryotes - 848 (source: NCBI BLink).",mitochondria
AT1G28960.3,"nudix hydrolase homolog 15 (NUDX15); CONTAINS InterPro DOMAIN/s: NUDIX hydrolase domain-like (InterPro:IPR015797), NUDIX hydrolase domain (InterPro:IPR000086), NUDIX hydrolase, AtNUDT22 (InterPro:IPR017397); BEST Arabidopsis thaliana protein match is: nudix hydrolase homolog 22 (TAIR:AT2G33980.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",mitochondria
AT1G28960.4,nudix hydrolase homolog 15,mitochondria
AT1G28960.5,nudix hydrolase homolog 15,mitochondria
AT1G29880.1,glycyl-tRNA synthetase / glycine--tRNA ligase,mitochondria
AT1G30580.1,GTP binding,plastid; mitochondria
AT1G30680.1,toprim domain-containing protein,plastid; mitochondria
AT1G30960.1,GTP-binding family protein,mitochondria
AT1G32470.1,Single hybrid motif superfamily protein,mitochondria
AT1G47260.1,gamma carbonic anhydrase 2,mitochondria
AT1G47420.1,succinate dehydrogenase 5,mitochondria
AT1G47720.1,Primosome PriB/single-strand DNA-binding,mitochondria
AT1G48030.1,Encodes a mitochondrial lipoamide dehydrogenase whose expression is induced by light.,mitochondria
AT1G48030.2,mitochondrial lipoamide dehydrogenase 1,mitochondria
AT1G48520.1,GLU-ADT subunit B,plastid stroma; mitochondria
AT1G48520.2,Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).,plastid stroma; mitochondria
AT1G48520.3,Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).,plastid stroma; mitochondria
AT1G49530.1,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,mitochondria
AT1G49630.1,"Zinc metalloprotease pitrilysin subfamily A. Signal peptide degrading enzyme targeted to mitochondria and chloroplasts. Expressed in flower, leaf and root. Not expressed in silique and shoot.",plastid stroma; mitochondria
AT1G49630.2,"Zinc metalloprotease pitrilysin subfamily A. Signal peptide degrading enzyme targeted to mitochondria and chloroplasts. Expressed in flower, leaf and root. Not expressed in silique and shoot.",plastid stroma; mitochondria
AT1G49630.3,presequence protease 2,plastid stroma; mitochondria
AT1G49880.1,Erv1/Alr family protein,mitochondria
AT1G50200.1,Alanyl-tRNA synthetase,plastid stroma; mitochondria
AT1G50200.2,Alanyl-tRNA synthetase,plastid stroma; mitochondria
AT1G50940.1,electron transfer flavoprotein alpha,mitochondria
AT1G51150.1,Encodes a putative DegP protease.,mitochondria
AT1G51390.1,"Encodes a protein containing the NFU domain that may be involved in iron-sulfur cluster assembly. Part of a five member gene family, more closely related to NFU4 than to NFU1,2, and 3. Targeted to the mitochondrion.",mitochondria
AT1G51650.1,"ATP synthase epsilon chain, mitochondrial; FUNCTIONS IN: hydrogen ion transporting ATP synthase activity, rotational mechanism, proton-transporting ATPase activity, rotational mechanism; INVOLVED IN: ATP biosynthetic process, ATP synthesis coupled proton transport; LOCATED IN: mitochondrion; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1 complex, epsilon subunit, mitochondrial (InterPro:IPR006721); Has 247 Blast hits to 247 proteins in 93 species: Archae - 0; Bacteria - 0; Metazoa - 143; Fungi - 12; Plants - 69; Viruses - 0; Other Eukaryotes - 23 (source: NCBI BLink).",mitochondria
AT1G51980.1,Insulinase (Peptidase family M16) protein,mitochondria
AT1G51980.2,Insulinase (Peptidase family M16) protein,mitochondria
AT1G52160.1,Encodes a tRNase Z.,nucleus; mitochondria
AT1G52560.1,HSP20-like chaperones superfamily protein,mitochondria
AT1G52560.2,"HSP20-like chaperones superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to high light intensity, response to hydrogen peroxide, response to heat; LOCATED IN: mitochondrion; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp20 (InterPro:IPR002068), HSP20-like chaperone (InterPro:IPR008978); BEST Arabidopsis thaliana protein match is: heat shock protein 21 (TAIR:AT4G27670.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",mitochondria
AT1G52620.1,Pentatricopeptide repeat (PPR) superfamily protein,mitochondria
AT1G53030.1,"encodes a copper chaperone, can functional complements the yeast COX17 null mutant. May play a role in the delivery of copper to mitochondria. Expressed in roots and thus may also play a role in copper transport in the roots.",mitochondria
AT1G53240.1,Lactate/malate dehydrogenase family protein,mitochondria
AT1G55040.1,zinc finger (Ran-binding) family protein,plastid; mitochondria
AT1G55890.1,Tetratricopeptide repeat (TPR)-like superfamily protein,mitochondria
AT1G58180.1,"beta carbonic anhydrase 6 (BCA6); FUNCTIONS IN: carbonate dehydratase activity, zinc ion binding; INVOLVED IN: carbon utilization; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Carbonic anhydrase, prokaryotic-like, conserved site (InterPro:IPR015892), Carbonic anhydrase (InterPro:IPR001765); BEST Arabidopsis thaliana protein match is: beta carbonic anhydrase 5 (TAIR:AT4G33580.1); Has 5006 Blast hits to 4991 proteins in 1499 species: Archae - 55; Bacteria - 3848; Metazoa - 56; Fungi - 209; Plants - 346; Viruses - 0; Other Eukaryotes - 492 (source: NCBI BLink).",mitochondria
AT1G58180.2,"beta carbonic anhydrase 6 (BCA6); FUNCTIONS IN: carbonate dehydratase activity, zinc ion binding; INVOLVED IN: carbon utilization; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Carbonic anhydrase, prokaryotic-like, conserved site (InterPro:IPR015892), Carbonic anhydrase (InterPro:IPR001765); BEST Arabidopsis thaliana protein match is: beta carbonic anhydrase 5 (TAIR:AT4G33580.1); Has 5080 Blast hits to 5063 proteins in 1507 species: Archae - 55; Bacteria - 3884; Metazoa - 56; Fungi - 211; Plants - 357; Viruses - 0; Other Eukaryotes - 517 (source: NCBI BLink).",mitochondria
AT1G58180.3,"beta carbonic anhydrase 6 (BCA6); FUNCTIONS IN: carbonate dehydratase activity, zinc ion binding; INVOLVED IN: carbon utilization; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Carbonic anhydrase, prokaryotic-like, conserved site (InterPro:IPR015892), Carbonic anhydrase (InterPro:IPR001765); BEST Arabidopsis thaliana protein match is: beta carbonic anhydrase 5 (TAIR:AT4G33580.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",mitochondria
AT1G59900.1,pyruvate dehydrogenase complex E1 alpha subunit,mitochondria
AT1G61570.1,translocase of the inner mitochondrial membrane 13,mitochondria
AT1G61960.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G61970.1,Mitochondrial transcription termination factor family protein; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT1G61980.1); Has 867 Blast hits to 807 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 855; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).,mitochondria
AT1G61970.2,Mitochondrial transcription termination factor family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT1G61980.1).,mitochondria
AT1G61980.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G61990.1,Mitochondrial transcription termination factor family protein; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT1G61960.1); Has 813 Blast hits to 783 proteins in 30 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 807; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,mitochondria
AT1G62010.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G62110.1,Mitochondrial transcription termination factor family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT1G62085.1); Has 1071 Blast hits to 876 proteins in 49 species: Archae - 0; Bacteria - 0; Metazoa - 66; Fungi - 0; Plants - 988; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).,mitochondria
AT1G62120.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G62150.1,Mitochondrial transcription termination factor family protein; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT1G62085.1); Has 880 Blast hits to 773 proteins in 30 species: Archae - 0; Bacteria - 0; Metazoa - 6; Fungi - 0; Plants - 866; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).,mitochondria
AT1G62260.1,mitochondrial editing factor 9,mitochondria
AT1G63940.1,"monodehydroascorbate reductase 6 (MDAR6); FUNCTIONS IN: ATP binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: mitochondrion, stromule, chloroplast stroma, chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327); BEST Arabidopsis thaliana protein match is: monodehydroascorbate reductase 1 (TAIR:AT3G52880.1); Has 32682 Blast hits to 32615 proteins in 3080 species: Archae - 745; Bacteria - 25586; Metazoa - 997; Fungi - 665; Plants - 640; Viruses - 0; Other Eukaryotes - 4049 (source: NCBI BLink).",plastid stroma; mitochondria
AT1G63940.2,monodehydroascorbate reductase 6,plastid stroma; mitochondria
AT1G63940.3,"monodehydroascorbate reductase 6 (MDAR6); FUNCTIONS IN: ATP binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: mitochondrion, stromule, chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327); BEST Arabidopsis thaliana protein match is: monodehydroascorbate reductase 1 (TAIR:AT3G52880.1); Has 32449 Blast hits to 32388 proteins in 3070 species: Archae - 747; Bacteria - 25377; Metazoa - 989; Fungi - 665; Plants - 634; Viruses - 0; Other Eukaryotes - 4037 (source: NCBI BLink).",plastid stroma; mitochondria
AT1G63940.4,"monodehydroascorbate reductase 6 (MDAR6); FUNCTIONS IN: ATP binding; INVOLVED IN: response to cadmium ion, response to cold; LOCATED IN: mitochondrion, stromule, chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027), Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region (InterPro:IPR001327); BEST Arabidopsis thaliana protein match is: monodehydroascorbate reductase 1 (TAIR:AT3G52880.1); Has 32339 Blast hits to 32274 proteins in 3053 species: Archae - 745; Bacteria - 25255; Metazoa - 989; Fungi - 665; Plants - 640; Viruses - 0; Other Eukaryotes - 4045 (source: NCBI BLink).",plastid stroma; mitochondria
AT1G65630.1,Encodes a putative DegP protease.,plastid; mitochondria
AT1G66590.1,cytochrome c oxidase 19-1 (COX19-1); CONTAINS InterPro DOMAIN/s: CHCH (InterPro:IPR010625); BEST Arabidopsis thaliana protein match is: cytochrome c oxidase 19-2 (TAIR:AT1G69750.1); Has 290 Blast hits to 290 proteins in 159 species: Archae - 0; Bacteria - 0; Metazoa - 77; Fungi - 106; Plants - 52; Viruses - 0; Other Eukaryotes - 55 (source: NCBI BLink).,mitochondria
AT1G66590.2,cytochrome c oxidase 19-1 (COX19-1); CONTAINS InterPro DOMAIN/s: CHCH (InterPro:IPR010625); BEST Arabidopsis thaliana protein match is: cytochrome c oxidase 19-2 (TAIR:AT1G69750.1); Has 290 Blast hits to 290 proteins in 159 species: Archae - 0; Bacteria - 0; Metazoa - 77; Fungi - 106; Plants - 52; Viruses - 0; Other Eukaryotes - 55 (source: NCBI BLink).,mitochondria
AT1G68990.1,male gametophyte defective 3,mitochondria
AT1G69750.1,cytochrome c oxidase 19-2,mitochondria
AT1G71260.1,WHIRLY 2,mitochondria
AT1G72330.1,alanine aminotransferase 2,mitochondria
AT1G72330.2,alanine aminotransferase 2,mitochondria
AT1G72330.3,alanine aminotransferase 2,mitochondria
AT1G72750.1,"translocase inner membrane subunit 23-2 (TIM23-2); FUNCTIONS IN: protein transporter activity, P-P-bond-hydrolysis-driven protein transmembrane transporter activity; INVOLVED IN: intracellular protein transport, protein transport; LOCATED IN: mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane translocase complex, subunit Tim23 (InterPro:IPR005681), Mitochondrial inner membrane translocase complex, subunit Tim17/22 (InterPro:IPR003397); BEST Arabidopsis thaliana protein match is: translocase of inner mitochondrial membrane 23 (TAIR:AT1G17530.1); Has 613 Blast hits to 613 proteins in 178 species: Archae - 0; Bacteria - 0; Metazoa - 286; Fungi - 136; Plants - 143; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).",mitochondria
AT1G74120.1,Mitochondrial transcription termination factor family protein,mitochondria
AT1G74230.1,encodes a glycine-rich RNA binding protein.,mitochondria
AT1G74260.1,purine biosynthesis 4,plastid stroma; mitochondria
AT1G74600.1,pentatricopeptide (PPR) repeat-containing protein,mitochondria
AT1G78510.1,solanesyl diphosphate synthase 1,stroma; mitochondria
AT1G78510.2,Encodes a protein with solanesyl diphosphate synthase activity.,stroma; mitochondria
AT1G79220.1,Mitochondrial transcription termination factor family protein; CONTAINS InterPro DOMAIN/s: Mitochodrial transcription termination factor-related (InterPro:IPR003690); BEST Arabidopsis thaliana protein match is: Mitochondrial transcription termination factor family protein (TAIR:AT5G64950.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,mitochondria
AT1G79230.1,mercaptopyruvate sulfurtransferase 1,mitochondria
AT1G79230.2,"encodes a sulfurtransferase/rhodaneses, which belongs to a group of enzymes widely distributed in all three phyla that catalyze the transfer of sulfur from a donor to a thiophilic acceptor substrate. The protein and transcript levels are NOT affected by senescence or exogenous cyanide, suggesting that sulfurtransferases are involved in cyanide detoxification.",mitochondria
AT1G79230.3,"encodes a sulfurtransferase/rhodaneses, which belongs to a group of enzymes widely distributed in all three phyla that catalyze the transfer of sulfur from a donor to a thiophilic acceptor substrate. The protein and transcript levels are NOT affected by senescence or exogenous cyanide, suggesting that sulfurtransferases are involved in cyanide detoxification.",mitochondria
AT1G79440.1,aldehyde dehydrogenase 5F1,mitochondria
AT1G79900.1,Mitochondrial substrate carrier family protein,mitochondria
