Accession,STD Annot.,Curated Loc.
AT1G22790.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G34010.1); Has 67 Blast hits to 67 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,plasma membrane
AT1G22790.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknow,plasma membrane
AT1G25320.1,"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: transmembrane receptor protein tyrosine kinase signaling pathway, protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT2G01210.1); Has 141432 Blast hits to 94435 proteins in 2977 species: Archae - 110; Bacteria - 10539; Metazoa - 37556; Fungi - 5883; Plants - 72805; Viruses - 219; Other Eukaryotes - 14320 (source: NCBI BLink).",plasma membrane
AT1G27460.1,no pollen germination related 1,plasma membrane
AT1G27950.1,glycosylphosphatidylinositol-anchored lipid protein transfer 1,plasma membrane
AT1G30690.1,"Sec14p-like phosphatidylinositol transfer family protein; FUNCTIONS IN: transporter activity; INVOLVED IN: transport; LOCATED IN: cytosol, nucleus, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Cellular retinaldehyde-binding/triple function, C-terminal (InterPro:IPR001251), Cellular retinaldehyde-binding/triple function, N-terminal (InterPro:IPR008273), GOLD (InterPro:IPR009038), Cellular retinaldehyde binding/alpha-tocopherol transport (InterPro:IPR001071), Phosphatidylinositol transfer protein-like, N-terminal (InterPro:IPR011074); BEST Arabidopsis thaliana protein match is: SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein (TAIR:AT4G09160.1); Has 58641 Blast hits to 33210 proteins in 2176 species: Archae - 407; Bacteria - 9659; Metazoa - 18729; Fungi - 5495; Plants - 3007; Viruses - 390; Other Eukaryotes - 20954 (source: NCBI BLink).",plasma membrane
AT1G30690.2,"Sec14p-like phosphatidylinositol transfer family protein; FUNCTIONS IN: transporter activity; INVOLVED IN: transport; LOCATED IN: cytosol, nucleus, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Cellular retinaldehyde-binding/triple function, C-terminal (InterPro:IPR001251), Cellular retinaldehyde-binding/triple function, N-terminal (InterPro:IPR008273), GOLD (InterPro:IPR009038), Cellular retinaldehyde binding/alpha-tocopherol transport (InterPro:IPR001071), Phosphatidylinositol transfer protein-like, N-terminal (InterPro:IPR011074); BEST Arabidopsis thaliana protein match is: SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein (TAIR:AT4G09160.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT1G32090.1,early-responsive to dehydration stress protein (ERD4); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF221 (InterPro:IPR003864); BEST Arabidopsis thaliana protein match is: ERD (early-responsive to dehydration stress) family protein (TAIR:AT3G21620.1); Has 1524 Blast hits to 1296 proteins in 194 species: Archae - 0; Bacteria - 0; Metazoa - 187; Fungi - 776; Plants - 431; Viruses - 0; Other Eukaryotes - 130 (source: NCBI BLink).,plasma membrane
AT1G32860.1,Glycosyl hydrolase superfamily protein,plasma membrane
AT1G33990.1,methyl esterase 14,plasma membrane
AT1G34020.1,Nucleotide-sugar transporter family protein,plasma membrane
AT1G42540.1,glutamate receptor 3.3,plasma membrane
AT1G42550.1,plastid movement impaired1,plasma membrane
AT1G45688.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknow,plasma membrane
AT1G45688.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G42860.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,plasma membrane
AT1G47330.1,CBS domain-containing protein with a domain of unknown function (DUF21),plasma membrane
AT1G47670.1,Transmembrane amino acid transporter family protein,plasma membrane
AT1G48240.1,member of NPSN Gene Family,plasma membrane
AT1G48480.1,receptor-like kinase 1,plasma membrane
AT1G52540.1,Protein kinase superfamily protein,plasma membrane
AT1G53050.1,Protein kinase superfamily protein,plasma membrane
AT1G53470.1,mechanosensitive channel of small conductance-like 4,plasma membrane
AT1G55350.1,"Similar to maize DEK1, a gene encoding a membrane protein of the calpain gene superfamily required for aleurone cell development in the endosperm of maize grains. A key component of the embryonic L1 cell-layer specification pathway. It localizes to membranes and undergoes intramolecular autolytic cleavage events that release the calpain domain into the cytoplasm.",plasma membrane
AT1G55350.2,"Similar to maize DEK1, a gene encoding a membrane protein of the calpain gene superfamily required for aleurone cell development in the endosperm of maize grains. A key component of the embryonic L1 cell-layer specification pathway. It localizes to membranes and undergoes intramolecular autolytic cleavage events that release the calpain domain into the cytoplasm.",plasma membrane
AT1G55350.3,"Similar to maize DEK1, a gene encoding a membrane protein of the calpain gene superfamily required for aleurone cell development in the endosperm of maize grains. A key component of the embryonic L1 cell-layer specification pathway. It localizes to membranes and undergoes intramolecular autolytic cleavage events that release the calpain domain into the cytoplasm.",plasma membrane
AT1G55350.4,calpain-type cysteine protease family,plasma membrane
AT1G55350.5,calpain-type cysteine protease family,plasma membrane
AT1G55610.1,mutant has Altered vascular cell differentiation; LRR Receptor Kinase,plasma membrane
AT1G55610.2,BRI1 like,plasma membrane
AT1G56230.1,Protein of unknown function (DUF1399),plasma membrane
AT1G56230.2,Protein of unknown function (DUF1399); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1399 (InterPro:IPR009836); BEST Arabidopsis thaliana protein match is: Protein of unknown function (duplicated DUF1399) (TAIR:AT2G22660.2).,plasma membrane
AT1G57700.1,"Protein kinase superfamily protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase-like domain (InterPro:IPR011009), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT1G09600.1); Has 118165 Blast hits to 116848 proteins in 3803 species: Archae - 91; Bacteria - 12447; Metazoa - 43256; Fungi - 11995; Plants - 30846; Viruses - 422; Other Eukaryotes - 19108 (source: NCBI BLink).",plasma membrane
AT1G57990.1,"Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.",plasma membrane
AT1G59610.1,dynamin-like 3,plasma membrane; cytosol
AT1G59650.1,Protein of unknown function (DUF1336),plasma membrane
AT1G59870.1,ABC-2 and Plant PDR ABC-type transporter family protein,plasma membrane
AT1G60030.1,nucleobase-ascorbate transporter 7,plasma membrane
AT1G61250.1,secretory carrier 3,plasma membrane
AT1G61250.2,secretory carrier 3,plasma membrane
AT1G61290.1,syntaxin of plants 124,plasma membrane; cytosol
AT1G62020.1,"Coatomer, alpha subunit",plasma membrane
AT1G64760.1,"O-Glycosyl hydrolases family 17 protein; FUNCTIONS IN: cation binding, hydrolase activity, hydrolyzing O-glycosyl compounds, catalytic activity; INVOLVED IN: carbohydrate metabolic process; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: guard cell, cultured cell; CONTAINS InterPro DOMAIN/s: X8 (InterPro:IPR012946), Glycoside hydrolase, catalytic core (InterPro:IPR017853), Glycoside hydrolase, family 17 (InterPro:IPR000490), Glycoside hydrolase, subgroup, catalytic core (InterPro:IPR013781); BEST Arabidopsis thaliana protein match is: O-Glycosyl hydrolases family 17 protein (TAIR:AT2G19440.1); Has 2673 Blast hits to 2603 proteins in 152 species: Archae - 0; Bacteria - 4; Metazoa - 5; Fungi - 38; Plants - 2613; Viruses - 0; Other Eukaryotes - 13 (source: NCBI BLink).",plasma membrane
AT1G64760.2,O-Glycosyl hydrolases family 17 protein,plasma membrane
AT1G65240.1,"Eukaryotic aspartyl protease family protein; FUNCTIONS IN: aspartic-type endopeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage, 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Peptidase aspartic (InterPro:IPR021109), Peptidase aspartic, catalytic (InterPro:IPR009007), Peptidase A1 (InterPro:IPR001461); BEST Arabidopsis thaliana protein match is: Eukaryotic aspartyl protease family protein (TAIR:AT5G36260.1); Has 3473 Blast hits to 3458 proteins in 317 species: Archae - 0; Bacteria - 0; Metazoa - 737; Fungi - 714; Plants - 1798; Viruses - 0; Other Eukaryotes - 224 (source: NCBI BLink).",plasma membrane
AT1G66410.1,encodes a calmodulin,plasma membrane
AT1G66410.2,encodes a calmodulin,plasma membrane
AT1G66970.1,SHV3-like 2,plasma membrane
AT1G66970.2,Encodes a member of the glycerophosphodiester phosphodiesterase like (GDPD-like) family.,plasma membrane
AT1G69870.1,nitrate transporter 1.7,plasma membrane
AT1G70410.1,Encodes a putative beta-carbonic anhydrase betaCA4. Together with betaCA1 (At3g01500) regulates CO2-controlled stomatal movements in guard cells.,plasma membrane
AT1G70410.2,Encodes a putative beta-carbonic anhydrase betaCA4. Together with betaCA1 (At3g01500) regulates CO2-controlled stomatal movements in guard cells.,plasma membrane
AT1G70410.3,Encodes a putative beta-carbonic anhydrase betaCA4. Together with betaCA1 (At3g01500) regulates CO2-controlled stomatal movements in guard cells.,plasma membrane
AT1G71860.1,Encodes a protein with tyrosine phosphatase activity that is downregulated in response to cold and upregulated in response to salt stress.,plasma membrane
AT1G71860.2,Encodes a protein with tyrosine phosphatase activity that is downregulated in response to cold and upregulated in response to salt stress.,plasma membrane
AT1G71860.3,protein tyrosine phosphatase 1,plasma membrane
AT1G71890.1,Major facilitator superfamily protein,plasma membrane
AT1G72230.1,Cupredoxin superfamily protein,plasma membrane
AT1G73650.1,"FUNCTIONS IN: oxidoreductase activity, acting on the CH-CH group of donors; INVOLVED IN: lipid metabolic process; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (InterPro:IPR001104), Protein of unknown function DUF1295 (InterPro:IPR010721); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1295) (TAIR:AT1G18180.1); Has 1888 Blast hits to 1888 proteins in 328 species: Archae - 0; Bacteria - 488; Metazoa - 78; Fungi - 114; Plants - 114; Viruses - 0; Other Eukaryotes - 1094 (source: NCBI BLink).",plasma membrane
AT1G73650.2,"FUNCTIONS IN: oxidoreductase activity, acting on the CH-CH group of donors; INVOLVED IN: lipid metabolic process; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (InterPro:IPR001104), Protein of unknown function DUF1295 (InterPro:IPR010721); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1295) (TAIR:AT1G18180.1); Has 2028 Blast hits to 2028 proteins in 336 species: Archae - 0; Bacteria - 496; Metazoa - 80; Fungi - 120; Plants - 113; Viruses - 0; Other Eukaryotes - 1219 (source: NCBI BLink).",plasma membrane
AT1G73650.3,"FUNCTIONS IN: oxidoreductase activity, acting on the CH-CH group of donors; INVOLVED IN: lipid metabolic process; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (InterPro:IPR001104), Protein of unknown function DUF1295 (InterPro:IPR010721); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1295) (TAIR:AT1G18180.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT1G73650.4,"FUNCTIONS IN: oxidoreductase activity, acting on the CH-CH group of donors; INVOLVED IN: lipid metabolic process; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (InterPro:IPR001104), Protein of unknown function DUF1295 (InterPro:IPR010721); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1295) (TAIR:AT1G18180.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",plasma membrane
AT1G74790.1,catalytics,plasma membrane
AT1G76850.1,exocyst complex component sec5,plasma membrane
AT1G77290.1,"Glutathione S-transferase family protein; INVOLVED IN: pentachlorophenol catabolic process; LOCATED IN: plasma membrane; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Glutathione S-transferase, C-terminal (InterPro:IPR004046), Glutathione S-transferase, C-terminal-like (InterPro:IPR010987), Glutathione S-transferase/chloride channel, C-terminal (InterPro:IPR017933), Glutathione S-transferase, N-terminal (InterPro:IPR004045), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: glutathione S-transferase (class phi) 5 (TAIR:AT1G02940.1); Has 4039 Blast hits to 4036 proteins in 870 species: Archae - 0; Bacteria - 1980; Metazoa - 523; Fungi - 103; Plants - 679; Viruses - 0; Other Eukaryotes - 754 (source: NCBI BLink).",plasma membrane
AT1G77630.1,Encodes a lysin-motif protein mediating bacterial peptidoglycan sensing and immunity to bacterial infection. Induction of chitin-responsive genes by chitin treatment is not blocked in the mutant.,plasma membrane
AT1G78610.1,mechanosensitive channel of small conductance-like 6,plasma membrane
AT1G78880.1,"Ubiquitin-specific protease family C19-related protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: guard cell, cultured cell; BEST Arabidopsis thaliana protein match is: Ubiquitin-specific protease family C19-related protein (TAIR:AT1G16860.1); Has 277 Blast hits to 242 proteins in 57 species: Archae - 0; Bacteria - 14; Metazoa - 37; Fungi - 44; Plants - 151; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink).",plasma membrane
AT1G80900.1,Transmembrane magnesium transporter. One of nine family members.,plasma membrane
AT2G01210.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G01410.1,NHL domain-containing protein,plasma membrane
AT2G01630.1,O-Glycosyl hydrolases family 17 protein,plasma membrane
AT2G01630.2,"O-Glycosyl hydrolases family 17 protein; FUNCTIONS IN: cation binding, hydrolase activity, hydrolyzing O-glycosyl compounds, catalytic activity; INVOLVED IN: carbohydrate metabolic process; LOCATED IN: plasma membrane, anchored to membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glycoside hydrolase, catalytic core (InterPro:IPR017853), Glycoside hydrolase, family 17 (InterPro:IPR000490), Glycoside hydrolase, subgroup, catalytic core (InterPro:IPR013781); BEST Arabidopsis thaliana protein match is: O-Glycosyl hydrolases family 17 protein (TAIR:AT1G66250.1); Has 2147 Blast hits to 2131 proteins in 127 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 5; Plants - 2133; Viruses - 0; Other Eukaryotes - 6 (source: NCBI BLink).",plasma membrane
AT2G01820.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G01980.1,"sodium proton exchanger, putative (NHX7) (SOS1)",plasma membrane
AT2G02480.1,AAA-type ATPase family protein,plasma membrane
AT2G02850.1,plantacyanin,plasma membrane
AT2G04780.1,fasciclin-like arabinogalactan-protein 7 (Fla7),plasma membrane
AT2G04780.2,FASCICLIN-like arabinoogalactan 7,plasma membrane
AT2G16250.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G17120.1,lysm domain GPI-anchored protein 2 precursor,plasma membrane
