Accession,STD Annot.,Curated Loc.
AT1G69840.6,SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 5669 Blast hits to 5668 proteins in 1821 species: Archae - 158; Bacteria - 3805; Metazoa - 307; Fungi - 277; Plants - 271; Viruses - 5; Other Eukaryotes - 846 (source: NCBI BLink).,vacuole
AT1G69840.7,SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1).,vacuole
AT1G70330.1,equilibrative nucleotide transporter 1,vacuole
AT1G73190.1,Moves to the Protein Storage Vacuole in a Golgi independent manner,vacuole-tonoplast
AT1G75630.1,"vacuolar H+-pumping ATPase 16 kD proteolipid (ava-p) mRNA,",vacuole-tonoplast
AT1G75630.2,"vacuolar H+-pumping ATPase 16 kD proteolipid (ava-p) mRNA,",vacuole-tonoplast
AT1G76030.1,"ATPase, V1 complex, subunit B protein",vacuole
AT1G78660.1,The Arabidopsis protein AtGGH1 is a gamma-glutamyl hydrolase cleaving pentaglutamates to yield di- and triglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.,vacuole
AT1G78660.2,The Arabidopsis protein AtGGH1 is a gamma-glutamyl hydrolase cleaving pentaglutamates to yield di- and triglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.,vacuole
AT1G78680.1,gamma-glutamyl hydrolase 2,vacuole
AT1G78680.2,The Arabidopsis protein AtGGH2 is a gamma-glutamyl hydrolase acting specifically on monoglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.,vacuole
AT1G78900.1,Encodes catalytic subunit A of the vacuolar ATP synthase. Mutants are devoid of vacuolar ATPase activity as subunit A is encoded only by this gene and show strong defects in male gametophyte development and in Golgi stack morphology.,vacuole
AT1G79410.1,"organic cation/carnitine transporter5 (5-Oct); FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: integral to membrane, membrane; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: organic cation/carnitine transporter 6 (TAIR:AT1G16370.1); Has 11548 Blast hits to 11506 proteins in 1434 species: Archae - 261; Bacteria - 5062; Metazoa - 3508; Fungi - 1334; Plants - 912; Viruses - 0; Other Eukaryotes - 471 (source: NCBI BLink).",vacuole-tonoplast
AT2G03620.1,Transmembrane magnesium transporter. One of nine family members.,vacuole-tonoplast
AT2G14720.1,encodes a vacuolar sorting receptor,vacuole; golgi
AT2G14720.2,vacuolar sorting receptor 4,vacuole-tonoplast; golgi
AT2G14740.1,Encodes a vacuolar sorting receptor that participates in vacuolar sorting in vegetative tissues and in seeds.,vacuole
AT2G14740.2,vaculolar sorting receptor 3,vacuole
AT2G16510.1,"ATPase, F0/V0 complex, subunit C protein; FUNCTIONS IN: ATPase activity; INVOLVED IN: ATP synthesis coupled proton transport; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F0/V0 complex, subunit C (InterPro:IPR002379), ATPase, V0 complex, proteolipid subunit C, eukaryotic (InterPro:IPR011555), ATPase, V0 complex, proteolipid subunit C (InterPro:IPR000245); BEST Arabidopsis thaliana protein match is: vacuolar-type H(+)-ATPase C3 (TAIR:AT4G38920.1); Has 2722 Blast hits to 2495 proteins in 678 species: Archae - 169; Bacteria - 703; Metazoa - 633; Fungi - 468; Plants - 344; Viruses - 0; Other Eukaryotes - 405 (source: NCBI BLink).",vacuole
AT2G16660.1,Major facilitator superfamily protein,vacuole-tonoplast
AT2G17790.1,VPS35 homolog A,vacuole
AT2G20230.1,Tetraspanin family protein,vacuole-tonoplast
AT2G21410.1,vacuolar proton ATPase A2,vacuole-tonoplast
AT2G23150.1,natural resistance-associated macrophage protein 3,vacuole
AT2G25810.1,tonoplast intrinsic protein 4;1,vacuole-tonoplast
AT2G25940.1,alpha-vacuolar processing enzyme,vacuole
AT2G34585.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 43 Blast hits to 43 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 43; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",vacuole-tonoplast
AT2G36830.1,gamma tonoplast intrinsic protein,vacuole-tonoplast
AT2G41560.1,"autoinhibited Ca(2+)-ATPase, isoform 4",vacuole
AT2G46800.1,"Encodes a member of the zinc transporter (ZAT) and cation diffusion facilitator (CDF) families. It is expressed throughout the plant, especially in dividing, differentiating and expanding cells. The protein is localized to the vacuolar membrane. Mediates Zn ion homeostasis.",vacuole-tonoplast
AT2G48020.1,"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: plasma membrane, chloroplast, vacuole, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G18840.1); Has 32576 Blast hits to 32035 proteins in 2204 species: Archae - 531; Bacteria - 16009; Metazoa - 5272; Fungi - 6662; Plants - 2708; Viruses - 2; Other Eukaryotes - 1392 (source: NCBI BLink).",vacuole-tonoplast
AT2G48020.2,Major facilitator superfamily protein,vacuole-tonoplast
AT3G01390.1,Subunit G of the vacuolar membrane ATPAse complex,vacuole
AT3G01390.2,vacuolar membrane ATPase 10,vacuole
AT3G10410.1,SERINE CARBOXYPEPTIDASE-LIKE 49,vacuole
AT3G16240.1,delta tonoplast integral protein,vacuole-tonoplast
AT3G18780.1,Encodes an actin that is constitutively expressed in vegetative structures but not pollen. ACT2 is involved in tip growth of root hairs.,vacuole
AT3G18780.2,Encodes an actin that is constitutively expressed in vegetative structures but not pollen. ACT2 is involved in tip growth of root hairs.,vacuole
AT3G20210.1,delta vacuolar processing enzyme,vacuole
AT3G20210.2,"Encodes a vacuolar processing enzyme with caspase-1-like activity that is specifically expressed in inner integument of developing seeds. Mutants display abnormal seed coat development. It is speculated to be involved in cell death of limited cell layers, the purpose of which is to form a seed coat.",vacuole
AT3G21690.1,MATE efflux family protein,vacuole-tonoplast
AT3G26520.1,gamma tonoplast intrinsic protein 2 (TIP2). expressed throughout the plant and transcript level is increased upon NaCl or ABA treatments. NaCl stress-sensitive yeast mutant strains exhibit more resistance to salt when expressing this protein.,vacuole-tonoplast
AT3G27770.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62960.1); Has 158 Blast hits to 157 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 13; Fungi - 0; Plants - 141; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).,vacuole-tonoplast
AT3G27770.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62960.1); Has 150 Blast hits to 150 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 13; Fungi - 0; Plants - 133; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).,vacuole-tonoplast
AT3G28710.1,"ATPase, V0/A0 complex, subunit C/D",vacuole
AT3G28715.1,"ATPase, V0/A0 complex, subunit C/D",vacuole-tonoplast
AT3G28715.2,"ATPase, V0/A0 complex, subunit C/D",vacuole
AT3G42050.1,vacuolar ATP synthase subunit H family protein,vacuole
AT3G51310.1,Homolog of yeast retromer subunit VPS35. Part of a retromer-like protein complex involved in endosome to lysosome protein transport.,vacuole
AT3G51490.1,tonoplast monosaccharide transporter3,vacuole-tonoplast
AT3G57330.1,autoinhibited Ca2+-ATPase 11,vacuole
AT3G58730.1,vacuolar ATP synthase subunit D (VATD) / V-ATPase D subunit / vacuolar proton pump D subunit (VATPD),vacuole
AT4G02620.1,vacuolar ATPase subunit F family protein,vacuole-tonoplast
AT4G03560.1,two-pore channel 1,vacuole
AT4G11150.1,vacuolar ATP synthase subunit E1,vacuole-tonoplast
AT4G17340.1,"tonoplast intrinsic protein 2;2 (TIP2;2); FUNCTIONS IN: water channel activity; INVOLVED IN: response to salt stress, transport; LOCATED IN: in 6 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Major intrinsic protein, conserved site (InterPro:IPR022357), Aquaporin (InterPro:IPR012269), Major intrinsic protein (InterPro:IPR000425); BEST Arabidopsis thaliana protein match is: tonoplast intrinsic protein 2;3 (TAIR:AT5G47450.1); Has 10928 Blast hits to 10884 proteins in 2182 species: Archae - 82; Bacteria - 5178; Metazoa - 1485; Fungi - 421; Plants - 2525; Viruses - 2; Other Eukaryotes - 1235 (source: NCBI BLink).",vacuole-tonoplast
AT4G19640.1,Ras-related small GTP-binding family protein,vacuole; golgi; ER
AT4G25570.1,Cytochrome b561/ferric reductase transmembrane protein family,vacuole
AT4G27690.1,vacuolar protein sorting 26B,vacuole
AT4G27690.2,vacuolar protein sorting 26B,vacuole
AT4G32150.1,vesicle-associated membrane protein 711,vacuole
AT4G32940.1,gamma vacuolar processing enzyme,vacuole
AT4G34720.1,vacuolar H+-pumping ATPase 16 kDa proteolipid (ava-p1),vacuole
AT4G35300.1,"tonoplast monosaccharide transporter2 (TMT2); FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity, nucleoside transmembrane transporter activity; INVOLVED IN: response to fructose stimulus, response to salt stress, response to sucrose stimulus, response to glucose stimulus; LOCATED IN: plasma membrane, vacuole, membrane; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: tonoplast monosaccharide transporter3 (TAIR:AT3G51490.2); Has 51368 Blast hits to 39283 proteins in 2480 species: Archae - 776; Bacteria - 26387; Metazoa - 6850; Fungi - 11680; Plants - 3625; Viruses - 0; Other Eukaryotes - 2050 (source: NCBI BLink).",vacuole-tonoplast
AT4G35300.2,"tonoplast monosaccharide transporter2 (TMT2); FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity, nucleoside transmembrane transporter activity; INVOLVED IN: response to fructose stimulus, response to salt stress, response to sucrose stimulus, response to glucose stimulus; LOCATED IN: plasma membrane, vacuole, membrane; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: tonoplast monosaccharide transporter3 (TAIR:AT3G51490.2); Has 51372 Blast hits to 39289 proteins in 2480 species: Archae - 776; Bacteria - 26387; Metazoa - 6852; Fungi - 11680; Plants - 3623; Viruses - 0; Other Eukaryotes - 2054 (source: NCBI BLink).",vacuole-tonoplast
AT4G35300.3,tonoplast monosaccharide transporter2,vacuole-tonoplast
AT4G35300.4,tonoplast monosaccharide transporter2,vacuole-tonoplast
AT4G35300.5,tonoplast monosaccharide transporter2,vacuole-tonoplast
AT4G38920.1,vacuolar-type H(+)-ATPase C3,vacuole
AT4G39080.1,vacuolar proton ATPase A3,vacuole-tonoplast
AT5G04920.1,EAP30/Vps36 family protein,vacuole
AT5G11150.1,"Member of Synaptobrevin-like AtVAMP7C, v-SNARE protein family.",vacuole
AT5G11710.1,ENTH/VHS family protein,vacuole; golgi; cytosol
AT5G14570.1,high affinity nitrate transporter 2.7,vacuole-tonoplast
AT5G22580.1,Stress responsive A/B Barrel Domain,vacuole
AT5G39510.1,Vesicle transport v-SNARE family protein,vacuole; golgi; extracellular
AT5G45130.1,RAB homolog 1,vacuole; ER
AT5G46360.1,"Encodes AtKCO3, a member of the Arabidopsis thaliana K+ channel family of AtTPK/KCO proteins. AtKCO3 is targeted to the vacuolar membrane. Forms homomeric ion channels in vivo.",vacuole
AT5G46860.1,Syntaxin/t-SNARE family protein,vacuole; ER
AT5G47450.1,tonoplast intrinsic protein 2;3,vacuole-tonoplast
AT5G47560.1,Encodes a tonoplast malate/fumarate transporter.,vacuole-tonoplast
AT5G49720.1,glycosyl hydrolase 9A1,vacuole; plasma membrane; ER
AT5G53530.1,vacuolar protein sorting 26A,vacuole
AT5G58070.1,temperature-induced lipocalin,vacuole
AT5G60360.1,Encodes a senescence-associated thiol protease.,vacuole
AT5G60360.2,Encodes a senescence-associated thiol protease.,vacuole
AT5G60360.3,Encodes a senescence-associated thiol protease.,vacuole
AT5G67330.1,natural resistance associated macrophage protein 4,vacuole
