TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532554413	AT5G15730	AT5G15730.3	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, epidermis, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein phosphorylation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532557257	AT5G28050	AT5G28050.3	protein_coding	Cytidine/deoxycytidylate deaminase family protein;(source:Araport11)		 extracellular region, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guanosine deaminase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, purine nucleoside catabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532561766	AT1G31180	AT1G31180.2	protein_coding	The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.		 chloroplast, 3-isopropylmalate dehydrogenase activity, NAD binding, NOT cytosol, chloroplast, chloroplast stroma, cytosol, fruit, guard cell, leucine biosynthetic process, magnesium ion binding, oxidation-reduction process, plastid, root, rosette leaf, seed development stage, thylakoid, vascular leaf	true
Gene:6532556387	AT5G16980	AT5G16980.3	protein_coding	Zinc-binding dehydrogenase family protein;(source:Araport11)		 cytoplasm, LP.04 four leaves visible stage, LP.06 six leaves visible stage, carpel, collective leaf structure, cotyledon, cytoplasm, flower, flowering stage, guard cell, inflorescence meristem, oxidation-reduction process, petal, petal differentiation and expansion stage, plastid, response to oxidative stress, rosette leaf, sepal, shoot system, stamen, stem, vascular leaf	true
Gene:6532557821	AT5G35100	AT5G35100.3	protein_coding	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)		 mitochondrion, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, peptidyl-cysteine S-nitrosylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid lumen, vascular leaf, vascular leaf senescent stage	true
Gene:6532561779	AT5G63620	AT5G63620.3	protein_coding	Encodes an oxidoreductase involved in transducing the perception of E-2-hexenal, which changes the redox status of the mitochondria.	HER2; HEXENAL RESPONSE 2	 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, cobalt ion binding, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, oxidation-reduction process, oxidoreductase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, response to organic substance, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2062496	AT2G35490	AT2G35490.1	protein_coding	Plastid-lipid associated protein PAP / fibrillin family protein;(source:Araport11)		 chloroplast, thylakoid, chloroplast thylakoid, chloroplast thylakoid membrane, cultured plant cell, plastoglobule, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cultured plant cell, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, plastoglobule, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, thylakoid, vascular leaf, vascular leaf senescent stage	true
Gene:2087836	AT3G22400	AT3G22400.1	protein_coding	Encodes lipoxygenase5 (LOX5). LOX5 activity in roots facilitates green peach aphid colonization of Arabidopsis foliage by promoting green peach aphid feeding from sieve element and water consumption from xylem.	ARABIDOPSIS THALIANA LIPOXYGENASE 5; ATLOX5; LOX5	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT plastid, carpel, cauline leaf, collective leaf structure, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, lateral root formation, lateral root primordium, leaf apex, leaf lamina base, linoleate 9S-lipoxygenase activity, lipid oxidation, mature plant embryo stage, metal ion binding, negative regulation of defense response to insect, oxylipin biosynthetic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, root, root development, seed, sepal, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2088599	AT3G17970	AT3G17970.1	protein_coding	Integral chloroplast outer membrane protein. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	ATTOC64-III; TOC64-III; TRANSLOCON AT THE OUTER MEMBRANE OF CHLOROPLASTS 64-III	 chloroplast, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, cytosol, flower, flower bud, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of chloroplast outer membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein transport, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2157001	AT5G49780	AT5G49780.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 plasma membrane, flower, hypocotyl, kinase activity, petal differentiation and expansion stage, phosphorylation, plasma membrane, plastid, root, rosette leaf, shoot system	true
Gene:2138145	AT4G23940	AT4G23940.1	protein_coding	Encodes FtsHi1. Localizes to the chloroplast envelope membrane. Functions in chloroplast biogenesis and division.Strong interaction with TIC inner envelope protein translocon which consists of Tic20/Tic56/Tic100/Tic214(Ycf1)(DOI:10.1105/tpc.18.00357).	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 1; ARC1; FTSH INACTIVE PROTEASE 1; FTSHI1	 chloroplast, plasma membrane, chloroplast envelope, plant callus, ATP binding, ATP-dependent peptidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Ycf2/FtsHi complex, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast fission, chloroplast inner membrane, chloroplast organization, chloroplast protein-transporting ATPase activity, collective leaf structure, cotyledon, cytosol, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, metalloendopeptidase activity, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, plastid fission, protein binding, protein import into chloroplast stroma, proteolysis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2145145	AT5G52200	AT5G52200.1	protein_coding	Encodes an inhibitor of protein phosphatase one (PP1).	ATI-2; I-2; INHIBITOR-2	 nucleus, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, protein phosphatase inhibitor activity, regulation of phosphoprotein phosphatase activity, regulation of protein serine/threonine phosphatase activity, regulation of signal transduction, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2146974	AT5G25260	AT5G25260.1	protein_coding	Belongs to the group of plant flotillins, which are plasma membrane proteins. Flot2 complexes may be involved in plant?pathogen interactions, water transport and intracellular trafficking.	FLOT2; FLOTILIN2	 extracellular region, vacuolar membrane, cultured plant cell, biological process unknown, caveola, cotyledon, cultured plant cell, extracellular region, guard cell, plasma membrane, plastid, protein binding, root, rosette leaf, vacuolar membrane	true
Gene:2148297	AT5G59370	AT5G59370.1	protein_coding	Encodes one of eight Arabidopsis actins.  ACT4 belongs to the reproductive actin subclass which is predominantly expressed in developing and reproductive tissues, such as pollen, pollen tubes, ovules, and developing seeds.  Expression of the ACT4/GUS fusion was restricted to young vascular tissues, tapetum, and developing and mature pollen.	ACT4; ACTIN 4	 cytoplasm, seed, vascular leaf, pollen, ATP binding, L mature pollen stage, M germinated pollen stage, NOT epidermal cell, NOT mesophyll cell, NOT trichome, actin cytoskeleton organization, carpel, collective leaf structure, cytoplasm, cytoskeleton, cytoskeleton organization, flower, flowering stage, guard cell, mitochondrion, petal, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plastid, pollen, pollen tube cell, rosette leaf, seed, sepal, stamen, structural constituent of cytoskeleton, vascular leaf	true
Gene:2152011	AT5G47100	AT5G47100.1	protein_coding	member of AtCBLs (Calcineurin B-like Calcium Sensor Proteins. CBL9 interacts with and targets CIPK23 to the plasma membrane in vivo.	ATCBL9; CALCINEURIN B-LIKE PROTEIN 9; CBL9	 plasma membrane, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, abscisic acid-activated signaling pathway, calcium ion binding, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase binding, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plastid, pollen, pollen tube cell, pollen tube growth, protein binding, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, stomatal movement, vascular leaf, vascular leaf senescent stage	true
Gene:2181401	AT5G16130	AT5G16130.1	protein_coding	Ribosomal protein S7e family protein;(source:Araport11)		 Golgi apparatus, cytosol, nucleolus, plasma membrane, plasmodesma, vascular leaf, cytosolic ribosome, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, cytosolic ribosome, cytosolic small ribosomal subunit, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, nucleolus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, plastid, pollen, rRNA processing, ribosomal small subunit biogenesis, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, small-subunit processome, stamen, stem, translation, vascular leaf, vascular leaf senescent stage	true
Gene:2171503	AT5G47210	AT5G47210.1	protein_coding	Hyaluronan / mRNA binding family;(source:Araport11)		 plasma membrane, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, perinuclear region of cytoplasm, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2177002	AT5G12250	AT5G12250.1	protein_coding	Encodes a beta-tubulin. Expression of TUB6 has been shown to decrease in response to cold treatment.	BETA-6 TUBULIN; TUB6	 cytoplasm, plasma membrane, root, GTP binding, GTPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, microtubule, microtubule cytoskeleton, microtubule cytoskeleton organization, microtubule-based process, mitotic cell cycle, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, response to cold, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, structural constituent of cytoskeleton, vascular leaf, vascular leaf senescent stage	true
Gene:3434099	AT1G06950	AT1G06950.1	protein_coding	Encodes a protein thought to be a part of the translocon at the chloroplast inner envelope. Involved in protein import into the chloroplast and chloroplast biogenesis. C-terminal half of Tic110 functions as scaffolds for protein-protein interactions.	ARABIDOPSIS THALIANA TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 110; ATTIC110; TIC110; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 110	 chloroplast, chloroplast envelope, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, TOC-TIC supercomplex I, Tic complex, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast organization, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, protein import into chloroplast stroma, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
